lifecycle_stage,engagement_tier,revenue_tier,clv_value_tier,churn_risk_tier,value_risk_quadrant,lifecycle_strategy_readout,retention_budget_tier,customers,future_churn_rate,avg_predicted_churn_probability,avg_lifecycle_duration_months,profit_adjusted_clv_proxy,future_churned_clv_proxy,avg_monthly_value_baseline
Long-tenure,High engagement,Medium revenue,Elite value,Low risk,Low risk / high value,Protect without discount,Premium save budget,2525,0.0,0.0025096268711582545,1.0,3078924.452500007,0.0,149.0
Early lifecycle,No observed activity,Medium revenue,Core value,Low risk,Standard lifecycle population,Monitor lifecycle trend,Low-cost save budget,1331,0.0,0.0003115824241444102,1.0,653188.25,0.0,100.0
Established,Medium engagement,Low revenue,Core value,Low risk,Standard lifecycle population,Monitor lifecycle trend,Low-cost save budget,2455,0.0,0.0002996600370697442,1.0,1524499.762499996,0.0,99.0
Early lifecycle,High engagement,Medium revenue,Core value,Low risk,Standard lifecycle population,Monitor lifecycle trend,Low-cost save budget,14412,0.0,0.000743879225531552,1.0,10603476.325,0.0,107.78615043019705
Established,High engagement,Low revenue,Core value,Low risk,Standard lifecycle population,Monitor lifecycle trend,Low-cost save budget,32912,0.0,0.0002550896392878357,1.0,24155168.894995995,0.0,99.0
Early lifecycle,No observed activity,Low revenue,Low value,Low risk,Standard lifecycle population,Monitor lifecycle trend,Automation only,2847,0.0,0.0002097887138275627,1.0,1505049.97500001,0.0,99.0
Long-tenure,Medium engagement,No observed revenue,No observed value,Critical risk,High risk / low value,Do not overspend,No paid budget,1317,0.914958238420653,0.9067845387851552,1.017463933181473,0.0,0.0,0.0
Early lifecycle,High engagement,Low revenue,Core value,Low risk,Standard lifecycle population,Monitor lifecycle trend,Low-cost save budget,6895,0.0,0.00024796195272581577,1.0,4626385.335000018,0.0,99.0
Established,Medium engagement,Medium revenue,Core value,Medium risk,Standard lifecycle population,Monitor lifecycle trend,Low-cost save budget,292,0.0,0.00602365017216216,1.0,265320.4774999998,0.0,144.8595890410959
Long-tenure,Medium engagement,Low revenue,Core value,Low risk,Standard lifecycle population,Monitor lifecycle trend,Low-cost save budget,710,0.0,0.0006518163028606634,1.0,486582.5250000066,0.0,99.0
Early lifecycle,Medium engagement,Low revenue,Core value,Low risk,Standard lifecycle population,Monitor lifecycle trend,Low-cost save budget,518,0.0,0.00030683949968026217,1.0,288333.04500000074,0.0,99.0
Established,High engagement,Low revenue,Low value,Low risk,Standard lifecycle population,Monitor lifecycle trend,Automation only,78055,0.0,0.00025534706635984406,1.0,57293111.947494745,0.0,99.0
